pub_date,authors,title,venue,url_slug,paper_url,tag,code_url,extra_links,doi
2024-12-01,"Kunjal Panchal, Nisarg Parikh, Sunav Choudhary, Lijun Zhang, Yuriy Brun, Hui Guan",Thinking Forward: Memory-Efficient Federated Finetuning of Language Models,"NeurIPS '24, Mon, Dec 9, 2024 – Sun, Dec 15, 2024, Vancouver",neurips24-thinking-forward,http://guanh01.github.io/files/2024spry.pdf,NeurIPS'24,https://github.com/Astuary/Spry,,
2024-10-01,"Mingcan Xiang, Jiaxun Tang, Qizheng Yang, Hui Guan, Tongping Liu",AdapMTL: Adaptive Pruning Framework for Multitask Learning Model,"ACM MM '24, October 28-November 1, 2024, Melbourne, VIC, Australia",acmmm24-adapmtl-adaptive,https://arxiv.org/pdf/2408.03913,ACM MM'24,,,https://doi.org/10.1145/3664647.3681426
2024-08-01,"Siddhant Garg, Lijun Zhang, Hui Guan",Structured Pruning for Multi-Task Deep Neural Networks,"International Conference on Multimedia Information Processing and Retrieval, August 07, 2024",mipr24-structured-pruning,https://arxiv.org/pdf/2304.06840,MIPR'24,,,
2024-06-01,"Xiao Liu, Lijun Zhang, Hui Guan",Information-Enhanced Graph Neural Network for Transcending Homophily Barriers,"In IEEE Access, 2024",ieeeaccess24-informationenhanced-graph,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10810421,IEEE Access'24,,,
2024-06-01,"Mohammad Mehdi Rastikerdar, Jin Huang, Shiwei Fang, Hui Guan, Deepak Ganesan",CACTUS: Dynamically Switchable Context-aware micro-Classifiers for Efficient IoT Inference,"The 22nd ACM International Conference on Mobile Systems, Applications, and Services (MobiSys), Tokyo, Japan, June 3-7, 2024",mobisys24-cactus-dynamically,http://guanh01.github.io/files/2024mobisys-cactus.pdf,MobiSys'24,https://github.com/mmehdirk/CACTUS-Dynamically-Switchable-Context-aware-micro-Classifiers-for-Efficient-IoT-Inference,,https://doi.org/10.1145/3643832.3661888
2024-06-01,"Sohaib Ahmad, Hui Guan, Ramesh K. Sitaraman",Loki: A System for Serving ML Inference Pipelines with Hardware and Accuracy Scaling,"The 33rd International Symposium on High-Performance Parallel and Distributed Computing (HPDC'24), Pisa, Italy, June 3-7, 2024. (Acceptance Rate = 17% (26/152))",hpdc24-loki-system,http://guanh01.github.io/files/2024hpdc-loki.pdf,HPDC'24,,,
2024-04-01,"Qizheng Yang, Tianyi Yang, Mingcan Xiang, Lijun Zhang, Haoliang Wang, Marco Serafini, Hui Guan",GMorph: Accelerating Multi-DNN Inference via Model Fusion,"The 2024 European Conference on Computer Systems (EuroSys), April 22-25, 2024",eurosys24-gmorph-accelerating,http://guanh01.github.io/files/2024eurosys-gmorph.pdf,EuroSys'24,https://github.com/qizhengyang98/GMorph/tree/master,,https://doi.org/10.1145/3627703.3650074
2024-04-01,"Sohaib Ahmad, Hui Guan, Brain D. Friedman, Thomas Williams, Ramesh K. Sitaraman, Thomas Woo",Proteus: A High-Throughput Inference-Serving System with Accuracy Scaling,"The 2024 ACM Conference on Architectural Support for Programming Languages and Operating Systems, April 27-May 1, 2024",asplos24-proteus-highthroughput,http://guanh01.github.io/files/2024proteus.pdf,ASPLOS'24,https://github.com/UMass-LIDS/Proteus,,https://doi.org/10.1145/3617232.3624849
2023-12-01,"Kunjal Panchal, Sunav Choudhary, Nisarg Parikh, Lijun Zhang, Hui Guan",Flow: Per-instance Personalized Federated Learning,"The 2023 Conference on Neural Information Processing Systems, Dec. 10-16, 2023",neurips23-flow-perinstance,http://guanh01.github.io/files/2023flow.pdf,NeurIPS'23,https://github.com/Astuary/Flow,,
2023-10-01,"Juelin Liu, Sandeep Polisetty, Hui Guan, Marco Serafini",GraphMini: Accelerating Graph Pattern Matching Using Auxiliary Graphs,"The 32nd International Conference on Parallel Architectures and Compilation Techniques, Oct. 21-25, 2023",pact23-graphmini-accelerating,http://guanh01.github.io/files/2023pact-GraphMini.pdf,PACT'23,https://zenodo.org/record/8350579,,
2023-10-01,"Jin Huang, Hui Guan, Deepak Ganesan",Re-thinking computation offload for efficient inference on IoT devices with duty-cycled radios,"The 29th International Conference on Mobile Computing and Networking, Madrid, Spain, Oct. 2-6, 2023",mobicom23-rethinking-computation,http://guanh01.github.io/files/2023mobicom.pdf,MobiCom'23,,,
2023-07-01,"Kunjal Panchal, Sunav Choudhary, Subrata Mitra, Koyel Mukherjee, Somdeb Sarkhel, Saayan Mitra, Hui Guan",Flash: Concept Drift Adaptation in Federated Learning,"40th International Conference on Machine Learning, Jul. 23-29, 2023",icml23-flash-concept,http://guanh01.github.io/files/2023flash.pdf,ICML'23,,,
2023-07-01,"Jinlin Lai, Javier Burroni, Hui Guan, Daniel Sheldon",Automatically marginalized MCMC in probabilistic programming,"40th International Conference on Machine Learning, Jul. 23-29, 2023",icml23-automatically-marginalized,https://arxiv.org/pdf/2302.00564.pdf,ICML'23,,,
2023-06-01,"Lijun Zhang, Xiao Liu, Hui Guan",A Tree-Structured Multi-Task Model Architectures Recommendation System,"IEEE Transactions on Neural Networks and Learning Systems, 2023",tnnls23-treestructured-multitask,https://ieeexplore.ieee.org/document/10171463,TNNLS'23,https://github.com/zhanglijun95/TreeMTL,,
2023-06-01,"Hanmei Yang, Xin Zhao, Jin Zhou, Wei Wang, Sandip Kundu, Bo Wu, Hui Guan, and Tongping Liu",NUMAlloc: A Faster NUMA Memory Allocator,"ACM SIGPLAN International Symposium on Memory Management, 2023",ismm23-numalloc-faster,http://guanh01.github.io/files/2023ismm.pdf,ISMM'23,,,
2023-06-01,"Lijun Zhang, Qizheng Yang, Xiao Liu, Hui Guan",An Alternative Hard-Parameter Sharing Paradigm for Multi-Domain Learning,"In IEEE Access, 2023",ieeeaccess23-alternative-hardparameter,https://ieeexplore.ieee.org/document/10028984,IEEE Access'23,,,
2022-11-01,"Lijun Zhang, Xiao Liu, Hui Guan",AutoMTL: A Programming Framework for Automating Efficient Multi-Task Learning,"36th Conference on Neural Information Processing Systems (NeurIPS 2022), November 28, 2022. (Acceptance rate: 25.6%)",neurips22-automtl-programming,http://guanh01.github.io/files/2022automtl.pdf,NeurIPS'22,https://github.com/zhanglijun95/AutoMTL,,
2022-08-01,"Sian Jin, Chengming Zhang, Xintong Jiang, Yunhe Feng, Hui Guan, Guanpeng Li, Shuaiwen Leon Song, and Dingwen Tao",COMET: A Novel Memory-Efficient Deep Learning Training Framework by Using Error-Bounded Lossy Compression,"In International Conference on Very Large Data Bases, 2022",vldb22-comet-novel,https://arxiv.org/pdf/2111.09562.pdf,VLDB'22,,,
